experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,0.38232421875,0.9,0.0
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,0.27587890625,0.95,0.5
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,0.29833984375,0.95,0.5
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,0.2159423828125,0.98,0.5
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,0.255126953125,0.98,0.5
cifar10_cold_fm_0_100,latest,2,midpoint,time_uniform,10000,0.1976318359375,0.99,1.0
new_warmth_scaling_e2e_0_100,latest,2,midpoint,time_uniform,10000,0.084716796875,0.99,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,45.5,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,43.65625,0.0,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,30.859375,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,26.796875,0.01,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,25.484375,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,18.875,0.02,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,16.671875,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,8.953125,0.05,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,11.734375,0.1,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,5.4921875,0.1,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,8.2109375,0.2,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,3.919921875,0.2,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,5.8984375,0.3,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,3.107421875,0.3,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,4.2421875,0.4,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,2.517578125,0.4,1.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,2.99609375,0.5,0.2
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,2.677734375,0.5,0.2
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,2.046875,0.6,0.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,1.8369140625,0.6,0.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,1.3271484375,0.7,0.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,1.201171875,0.7,0.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,0.77099609375,0.8,0.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,0.7138671875,0.8,0.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,0.359130859375,0.9,0.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,0.356201171875,0.9,0.0
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,0.192138671875,0.95,0.5
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,0.2105712890625,0.95,0.5
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,0.10687255859375,0.98,0.5
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,0.130859375,0.98,0.5
cifar10_cold_fm_0_100,latest,4,midpoint,time_uniform,10000,0.0802001953125,0.99,1.0
new_warmth_scaling_e2e_0_100,latest,4,midpoint,time_uniform,10000,0.0743408203125,0.99,1.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,39.9375,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,39.34375,0.0,1.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,25.609375,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,22.25,0.01,1.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,20.734375,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,15.5234375,0.02,1.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,13.1796875,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,7.5390625,0.05,1.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,9.328125,0.1,1.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,4.86328125,0.1,1.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,6.73046875,0.2,1.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,3.662109375,0.2,1.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,5.0,0.3,1.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,2.99609375,0.3,1.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,3.740234375,0.4,1.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,2.470703125,0.4,1.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,2.763671875,0.5,0.2
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,2.49609375,0.5,0.2
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,1.974609375,0.6,0.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,1.7919921875,0.6,0.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,1.3359375,0.7,0.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,1.2216796875,0.7,0.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,0.806640625,0.8,0.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,0.75341796875,0.8,0.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,0.386474609375,0.9,0.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,0.379638671875,0.9,0.0
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,0.20703125,0.95,0.5
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,0.2193603515625,0.95,0.5
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,0.11334228515625,0.98,0.5
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,0.1278076171875,0.98,0.5
cifar10_cold_fm_0_100,latest,6,midpoint,time_uniform,10000,0.08349609375,0.99,1.0
new_warmth_scaling_e2e_0_100,latest,6,midpoint,time_uniform,10000,0.074951171875,0.99,1.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,39.4375,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,38.28125,0.0,1.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,22.8125,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,20.625,0.01,1.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,18.28125,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,14.28125,0.02,1.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,11.390625,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,7.015625,0.05,1.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,8.0390625,0.1,1.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,4.64453125,0.1,1.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,5.91015625,0.2,1.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,3.572265625,0.2,1.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,4.5,0.3,1.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,2.955078125,0.3,1.0
